"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C20,C3";"C0603";2;"CL10A106KQ8NNNC";;;
2;"IC1";"ESP-12E";1;"ESP_12E";;;
3;"R24,R7,R10,R13,R21,R22,R23";"R0402";7;"RC1005F103CS";;;
4;"P1,P2";"Socket_Strip_Straight_1x18";2;"CONN_01X18";;;
5;"U1";"BQ24210";1;"BQ24210DQCT";;;
6;"D1";"BAT20JFILM";1;"BAT20JFILM";;;
7;"Q1,Q2";"DMG2307L-7";2;"DMG2307L-7";;;
8;"X2";"ABS07-32.768KHZ-9-T";1;"ABS07-32.768KHZ-9-T";;;
9;"D2";"RSB39VTE-17";1;"RSB39VTE-17";;;
10;"DA1";"ESDA6V1BC6";1;"ESDA6V1BC6";;;
11;"X1";"ABM3B8.000MHZB2T";1;"ABM3B8.000MHZB2T";;;
12;"FD1,FD2,FD3";"FIDUCIAL";3;"FIDUCIAL";;;
13;"H2,H1";"M2.5_HOLE";2;"M2.5_Hole";;;
14;"U3";"STM32F446RET6";1;"STM32F446RET6_-_TQFP64";;;
15;"C1,C2";"C0402";2;"CL05A105KA5NQNC";;;
16;"C4,C6,C7,C9,C10,C11,C12,C13,C17,C18,C19";"C0402";11;"CL05B104JP5NNNC";;;
17;"C5,C8";"C0402";2;"CL05C090CB5NNNC";;;
18;"C14,C15";"C0402";2;"CL05C180GB5NCNC";;;
19;"C16";"C0402";1;"CL05A475KQ5NRNC";;;
20;"FB1";"BLM15HG601SN1D";1;"BLM15HG601SN1D";;;
21;"FB2";"MI0603K300R-10";1;"MI0603K300R-10";;;
22;"J1";"B2B-PH-K-S(LF)(SN)";1;"B2B-PH-K-S(LF)(SN)";;;
23;"J2";"B3B-PH-K-S(LF)(SN)";1;"B3B-PH-K-S(LF)(SN)";;;
24;"J3";"20021121-00010C4LF";1;"20021121-00010C4LF";;;
25;"J4";"0475890001";1;"0475890001-MicroUSBPort";;;
26;"LED1";"LED0603";1;"LTST-C191KGKT";;;
27;"LED2";"LED0603";1;"LTST-C191KFKT";;;
28;"LED3";"LED0603";1;"LTST-C193TBKT-5A";;;
29;"R1";"R0402";1;"RC1005F4870CS";;;
30;"R2,R8,R9,R14,R16,R17,R18,R19,R20";"R0402";9;"RC1005F102CS";;;
31;"R3,R4";"R0603";2;"RC1608J202CS";;;
32;"R5,R6";"R0603";2;"ERA-3AEB3741V";;;
33;"R11,R12";"R0402";2;"CPF0402B22RE1";;;
34;"R15";"R0402";1;"RC1005J473CS";;;
35;"SW1,SW2";"B3U-1000P";2;"B3U-1000P";;;
36;"U2";"AZ1117CR-3.3TRG1";1;"AZ1117CR-3.3TRG1_1";;;
